Astor Pl,5.35248,3/
Canal St,0.09576,2/
50th St,0.5544,1/
Bergen St,1.37592,1/
Pennsylvania Ave,8.81496,1/
238th St,8.30088,1/
Cathedral Pkwy (110th St),7.69608,1/
Kingston - Throop Aves,16.12296,1/
65th St,6.55704,1/
36th St,0.37296,1/
Delancey St - Essex St,24.46416,3/
Van Siclen Ave,3.84552,1/
Norwood Ave,3.31632,3/
104th-102nd Sts,3.70944,1/
DeKalb Ave,7.60032,2/
Beach 105th St,1.87488,1/
Beach 90th St,5.09544,1/
Freeman St,26.4348,1/
Intervale Ave,12.30264,1/
182nd-183rd Sts,23.7384,1/
174th-175th Sts,12.8772,1/
167th St,36.60552,3/
Mets - Willets Point,0.16128,1/
Junction Blvd,10.60416,2/
Flushing - Main St,67.72248,2/
Buhre Ave,9.53064,1/
3rd Ave - 138th St,13.29048,3/
Castle Hill Ave,12.1716,1/
Brooklyn Bridge - City Hall,1.47168,2/
Zerega Ave,7.62552,1/
Grand Central - 42nd St,0.4536,2/
33rd St,8.20008,1/
96th St,5.6952,1/
77th St,7.90776,1/
Chauncey St,4.93416,1/
Union St,3.39696,1/
Elmhurst Ave,9.324,1/
Ralph Ave,15.43752,1/
Pelham Pkwy,16.48584,2/
Gun Hill Rd,14.4144,2/
Nereid Ave (238 St),5.5692,1/
Franklin Ave,5.96232,1/
Simpson St,6.2496,2/
Bronx Park East,8.34624,1/
Winthrop St,12.3228,1/
Van Siclen Ave,12.06072,1/
149th St - Grand Concourse,2.73672,1/
161st St - Yankee Stadium,0.9576,2/
Lexington Ave - 59th St,1.43136,1/
E 149th St,7.14168,3/
Morrison Av - Soundview,17.8668,1/
Whitlock Ave,5.2668,1/
St Lawrence Ave,17.20152,1/
Woodside - 61st St,6.11856,2/
Far Rockaway - Mott Ave,12.28248,2/
72nd St,2.61576,1/
96th St,5.07528,3/
168th St,7.69104,2/
Kingsbridge Rd,17.1612,2/
42nd St - Bryant Pk,0.43848,3/
Prospect Park,5.26176,1/
55th St,9.26352,1/
Jamaica - Van Wyck,4.18824,2/
Kew Gardens - Union Tpke,7.01064,2/
Sutphin Blvd - Archer Av,5.22648,2/
Court Sq - 23rd St,0.4788,3/
67th Ave,22.61448,1/
Grand Ave - Newtown,13.29552,1/
Ditmas Ave,9.41472,1/
Classon Ave,8.64864,3/
Broadway,5.42808,1/
Lorimer St,1.87992,3/
Sutter Ave,10.56888,1/
Wilson Ave,7.19208,4/
Halsey St,11.52144,1/
Lorimer St,4.67712,1/
8th Ave,10.2816,4/
36th Ave,6.804,1/
Broadway,10.5084,3/
Times Sq - 42nd St,0.01512,2/
Grand Central - 42nd St,0.76104,1/
Park Pl,5.922,2/
111th St,3.09456,1/
W 4th St - Washington Sq (Lower),1.02312,2/
51st St,1.16928,2/
86th St,6.39072,1/
233rd St,12.01032,2/
66th St - Lincoln Ctr,9.324,2/
Hunts Point Ave,11.5668,2/
Canal St,1.21464,1/
Middletown Rd,3.31128,1/
23rd St,5.21136,2/
Court Sq,0.22176,2/
59th St - Columbus Circle,4.3092,2/
Hunters Point Ave,0.64008,1/
23rd St,1.40112,1/
Houston St,1.14912,1/
104th St,2.91816,1/
Broad Channel,0.31752,1/
Ocean Pkwy,11.47104,1/
Vernon Blvd - Jackson Ave,1.27512,1/
68th St - Hunter College,2.49984,1/
Queensboro Plz,0.4032,1/
Rockaway Blvd,2.60064,1/
Union Sq - 14th St,1.47168,1/
Bedford - Nostrand Aves,12.348,1/
15th St - Prospect Park,3.4524,1/
7th Ave,2.5452,3/
Ft Hamilton Pkwy,3.7044,1/
Church Ave,8.44704,2/
Beverly Rd,7.29288,1/
Church Ave,12.30264,3/
Newkirk Ave,7.7616,1/
Parkside Ave,10.80576,1/
Grand Army Plaza,3.19536,1/
Atlantic Av - Barclay's Center,0.21672,2/
Rockaway Ave,10.9116,3/
Fulton St,3.11472,1/
Clinton - Washington Aves,7.80192,1/
7th Ave,1.7388,1/
Atlantic Av - Barclay's Center,0.6804,2/
Atlantic Av - Barclay's Center,3.58344,2/
Borough Hall,0.44352,3/
Aqueduct Racetrack,4.3092,1/
Morris Park,7.13664,1/
Pelham Pkwy,7.65072,2/
Nostrand Ave,8.90568,3/
Nevins St,0.74088,1/
Eastern Pkwy - Bklyn Museum,2.68632,1/
Beverly Rd,8.68392,1/
Church Ave,16.4304,2/
Newkirk Ave,12.84192,1/
Brooklyn College - Flatbush Ave,17.39304,2/
Sterling St,9.39456,1/
Crown Hts - Utica Ave,24.27264,2/
Kingston Ave,16.47072,1/
Nassau Ave,8.06904,1/
Greenpoint Ave,8.72424,1/
Marcy Ave,26.0064,2/
Hewes St,5.96736,1/
138th St - Grand Concourse,3.11976,1/
5th Ave - 53rd St,0.27216,1/
Lexington Ave - 53rd St,8.4168,2/
28th St,1.19448,1/
Herald Sq - 34th St,0.40824,2/
1st Ave,32.70456,1/
Times Sq - 42nd St,1.2096,1/
Metropolitan Ave,2.95344,3/
Grand St,4.7628,3/
Graham Ave,5.4432,1/
Bedford Ave,8.7948,1/
Montrose Ave,9.57096,1/
Long Island City - Court Sq,0.14112,1/
21st St,0.5544,1/
39th Ave,0.89208,1/
145th St,10.36224,1/
157th St,13.2552,1/
96th St,14.7924,2/
103rd St,10.63944,1/
Central Park North (110th St),7.88256,1/
103rd St,9.23832,1/
72nd St,11.87424,2/
81st St,2.17728,3/
75th Ave,4.67208,1/
86th St,4.8636,1/
Cathedral Pkwy (110th St),6.99048,1/
116th St - Columbia University,4.5108,1/
125th St,9.45504,1/
135th St,21.60648,2/
116th St,9.79272,1/
Tremont Ave,18.78408,3/
137th St - City College,11.22912,3/
145th St,13.23,1/
176th St,28.35504,1/
Burnside Ave,18.98568,3/
170th St,26.84304,1/
168th St,2.4948,3/
181st St,11.23416,1/
191st St,13.77432,1/
175th St,14.64624,2/
Beach 44th St,4.04208,1/
Beach 60th St,3.69936,1/
Beach 98th St,1.92024,1/
Rockaway Park - Beach 116 St,4.16304,2/
Beach 36th St,4.6872,1/
Beach 25th St,10.89144,1/
Parsons Blvd,5.81616,3/
169th St,10.27656,1/
103rd St - Corona Plaza,17.36784,1/
111th St,9.00144,1/
63rd Dr - Rego Park,17.55432,1/
Grant Ave,10.82592,1/
79th St,7.29792,1/
Atlantic Ave,5.83632,1/
Christopher St - Sheridan Sq,4.85352,1/
Ozone Park - Lefferts Blvd,11.53656,2/
Times Sq - 42nd St,0,2/
W 8th St - NY Aquarium,2.31336,1/
28th St,2.04624,1/
28th St,12.63024,4/
Pelham Bay Park,5.87664,1/
Westchester Sq - E Tremont Ave,5.6952,1/
18th St,0.63,1/
Grand Central - 42nd St,8.40168,2/
Beach 67th St,5.51376,4/
W 4th St - Washington Sq (Upper),2.00088,2/
85th St - Forest Pky,3.61368,1/
Woodhaven Blvd,5.64984,1/
111th St,3.9564,1/
121st St,8.67384,1/
Halsey St,6.59232,1/
Myrtle - Wyckoff Aves,5.05512,2/
New Lots Ave,18.36072,4/
Van Siclen Ave,5.75568,1/
Cleveland St,3.9564,1/
Livonia Ave,1.7388,1/
Junius St,9.2736,4/
Rockaway Ave,20.59848,1/
Canarsie - Rockaway Pkwy,10.7856,2/
E 105th St,11.32992,1/
Saratoga Ave,28.03248,1/
Sutter Ave - Rutland Road,30.7188,1/
New Lots Ave,9.08712,1/
Broadway Junction,0.95256,4/
Alabama Ave,1.69848,1/
Shepherd Ave,6.46128,1/
Crescent St,6.16896,1/
Cypress Hills,2.38392,1/
75th St - Eldert Ln,3.3264,1/
69th St,5.5692,1/
74th St - Broadway,8.442,2/
Woodhaven Blvd - Queens Mall,21.54096,4/
Myrtle - Wyckoff Aves,4.1076,2/
Seneca Ave,5.69016,1/
DeKalb Ave,7.68096,1/
52nd St,5.7204,1/
46th St,9.89856,1/
Northern Blvd,4.94928,4/
46th St,9.10224,4/
82nd St - Jackson Hts,16.04736,1/
90th St - Elmhurst Av,22.61952,1/
Howard Beach - JFK Airport,1.32048,2/
Aqueduct - North Conduit Av,2.07144,2/
Briarwood - Van Wyck Blvd,7.89264,4/
Forest Hills - 71st Av,8.6436,2/
Sutphin Blvd,6.46128,1/
Jamaica Ctr - Parsons / Archer,10.6344,2/
225th St,12.60504,1/
Elder Ave,20.67408,1/
Longwood Ave,9.08208,1/
Astoria Blvd,10.20096,1/
Astoria - Ditmars Blvd,13.8096,1/
Jackson Ave,13.43664,1/
Prospect Ave,19.87272,1/
Cypress Ave,8.50752,1/
174th St,19.59048,1/
Allerton Ave,14.30352,1/
E 143rd St - St Mary's St,5.52888,1/
Kingsbridge Rd,17.83152,4/
Bedford Park Blvd - Lehman College,2.5704,1/
Harlem - 148 St,7.16184,4/
Mt Eden Ave,21.67704,1/
Fordham Rd,28.66752,1/
170th St,17.29728,1/
Bedford Park Blvd,15.33672,1/
Marble Hill - 225th St,10.23624,1/
231st St,21.042,2/
215th St,4.032,1/
207th St,7.12656,1/
Inwood - 207th St,6.03288,2/
Van Cortlandt Park - 242nd St,2.72664,4/
West Farms Sq - E Tremont Av,34.28208,1/
219th St,8.81496,1/
Mosholu Pkwy,8.92584,4/
Norwood - 205th St,17.95752,1/
Burke Ave,11.58192,1/
Baychester Ave,12.97296,1/
Eastchester - Dyre Ave,12.41352,1/
Jamaica - 179th St,10.25136,2/
Wakefield - 241st St,6.13872,4/
Botanic Garden,1.19448,1/
Bushwick - Aberdeen,1.68336,1/
Broadway Junction,0.44856,4/
Gun Hill Rd,11.98008,2/
E 180th St,9.2736,2/
Dyckman St,10.42776,4/
125th St,18.4716,1/
Franklin Ave - Fulton St,5.3676,2/
149th St - Grand Concourse,7.10136,1/
3rd Ave - 149th St,28.8036,2/
167th St,22.6296,1/
Brook Ave,16.128,4/
33rd St,1.09368,4/
40th St,7.4088,1/
145th St,10.27152,1/
155th St,7.09632,1/
161st St - Yankee Stadium,25.35624,2/
Utica Ave,20.0592,2/
Steinway St,5.54904,4/
Kosciuszko St,9.41976,1/
Gates Ave,12.73608,1/
Central Ave,4.9392,1/
Knickerbocker Ave,9.576,1/
30th Ave,14.06664,1/
Jefferson St,7.76664,4/
Morgan Ave,2.81736,1/
Queens Plz,0.21168,2/
18th Ave,10.16568,1/
77th St,8.11944,1/
Bay Ridge Ave,12.2472,1/
50th St,13.17456,1/
Ft Hamilton Pkwy,11.35008,1/
25th Ave,7.12152,1/
Bay Pky,11.64744,2/
20th Ave,6.77376,1/
18th Ave,6.99048,1/
Bay Ridge - 95th St,12.0708,1/
86th St,9.76248,1/
79th St,8.83008,1/
71st St,10.29672,1/
20th Ave,11.87424,1/
18th Ave,11.32488,4/
62nd St,4.82328,2/
New Utrecht Ave,0.96264,2/
Ave U,4.66704,1/
Kings Hwy,5.53392,4/
Brighton Beach,21.98952,1/
Sheepshead Bay,16.37496,4/
Ave U,11.24928,1/
Kings Hwy,18.51192,2/
Ave U,3.39192,1/
Kings Hwy,8.85024,4/
Neptune Ave,8.10432,4/
Ave X,8.12448,1/
Bay 50th St,6.99048,1/
Gravesend - 86th St,5.95224,1/
Ave P,6.552,1/
Ave N,7.03584,1/
Bay Pky,1.25496,1/
Ave M,14.2632,1/
Bay Pky,10.32696,1/
Ave I,4.53096,4/
Ave J,11.19888,1/
Ave H,5.50872,2/
Neck Rd,17.46864,1/
21st St - Queensbridge,14.31864,2/
50th St,12.91752,4/
7th Ave,1.06344,4/
47th-50th Sts - Rockefeller Ctr,1.008,2/
57th St,0.96264,1/
Lexington Ave - 63rd St,4.07232,2/
Roosevelt Island - Main St,3.77496,2/
59th St - Columbus Circle,5.50872,2/
49th St,1.45656,4/
57th St,7.5096,1/
5th Ave - 59th St,0.49896,1/
Lexington Ave - 59th St,3.59856,4/
34th St - Penn Station,0.4284,2/
Times Sq - 42nd St,0.0252,2/
Fulton St,0.37296,2/
Chambers St,0.1008,1/
42nd St - Port Authority Bus Term,10.97712,2/
Myrtle-Willoughby Aves,15.8508,1/
Flushing Ave,13.3056,1/
23rd St,3.46752,1/
Herald Sq - 34th St,0.64008,2/
Hoyt - Schermerhorn Sts,0.77616,4/
Jay St - MetroTech,0.26712,2/
East Broadway,36.36864,1/
Delancey St - Essex St,3.30624,4/
Lower East Side - 2nd Ave,24.72624,1/
Flushing Ave,15.4728,2/
Myrtle Ave,11.00232,4/
4th Av - 9th St,1.04328,1/
Smith - 9th Sts,12.92256,1/
Bergen St,7.1064,1/
Jay St - MetroTech,1.07352,2/
Court St,2.76696,1/
Union Sq - 14th St,0.49896,2/
23rd St,2.0916,1/
Prospect Ave,3.54816,1/
4th Av - 9th St,2.53512,1/
3rd Ave,4.5108,1/
Union Sq - 14th St,0.756,2/
Liberty Ave,2.88288,1/
Broadway Junction,1.54728,1/
59th St,9.38952,1/
45th St,10.12032,1/
36th St,2.93328,4/
9th Ave,4.77792,1/
53rd St,10.78056,1/
Ft Hamilton Pkwy,14.90832,1/
25th St,2.86776,1/
Carroll St,5.24664,1/
Spring St,1.46664,1/
181st St,5.0904,4/
190th St,2.32344,1/
116th St,8.25048,1/
125th St,14.2632,2/
Prince St,1.17936,1/
8th St - NYU,2.93832,1/
Fulton St,3.70944,2/
Park Pl,0.03528,1/
Chambers St,1.134,2/
Hoyt St,0.79632,1/
Borough Hall,0.29736,2/
183rd St,15.12504,1/
Fordham Rd,18.46656,2/
World Trade Center,0.126,2/
Canal St - Holland Tunnel,0.44352,1/
155th St,11.29464,1/
163rd St - Amsterdam Av,8.98632,1/
Fulton St,0.12096,2/
Chambers St,11.14848,1/
Canal St,3.80016,1/
City Hall,0.29232,1/
Canal St,0.65016,1/
South Ferry,0.06552,2/
Bowling Green,0.48888,2/
Wall St,0.18648,1/
Whitehall St,0.09576,1/
Rector St,0.06048,1/
Fresh Pond Rd,8.32104,1/
Middle Village - Metropolitan Ave,8.09424,2/
Rector St,1.09368,1/
Cortlandt St,0.78624,1/
Fulton St,0.43344,2/
Broad St,0.2016,1/
Cortlandt St,0.17136,2/
Wall St,2.10168,1/
Dyckman St,8.96112,1/
Grand St,6.58728,1/
Broadway - Lafayette St,1.48176,2/
Bowery,4.36968,1/
Canal St,0.11592,1/
23rd St,12.8016,1/
34th St - Penn Station,4.02192,2/
Jackson Hts - Roosevelt Av,3.68928,2/
14th St,1.85976,4/
135th St,11.95992,1/
14th St,1.386,4/
6th Ave,2.1672,4/
8th Ave,6.00768,1/
14th St,6.69312,2/
Nostrand Ave,5.7204,1/
Clark St,2.11176,1/
Franklin Ave,1.79928,2/
Clinton - Washington Aves,4.16808,1/
Forest Ave,9.20304,1/
110th St,21.672,4/
86th St,6.9804,4/
York St,9.02664,1/
High St,2.13192,1/
Lafayette Ave,3.08448,1/
President St,6.00768,1/
Woodlawn,6.9552,1/
Bleecker St,1.6632,2/
103rd St,24.86232,1/
Euclid Ave,20.16504,2/
88th St,4.52088,1/
Cortelyou Rd,8.568,1/
116th St,26.23824,1/
Parkchester,26.8128,4/
Franklin St,1.32552,1/
80th St,4.03704,1/
5th Ave - Bryant Pk,0.69552,4/
Spring St,2.52,1/
125th St,21.46032,1/
Coney Island - Stillwell Av,19.49472,2/
34th St - Hudson Yards,7.49448,2/
72nd St,13.70376,2/
86th St,16.39008,2/
96th St,19.87776,2/
